price,home_state,address
"$247,000","2 beds
1 bath
850 sq ft","1841 N Monticello Ave Unit 3W, Chicago, IL 60647"
"$299,999","2 beds
1.5 baths
1,469 sq ft","6652 N Glenwood Ave Unit 2N, Chicago, IL 60626"
"$624,900","6 beds
2 baths
—sq ft","1229 W 32nd Pl, Chicago, IL 60608"
"$435,000","3 beds
2 baths
—sq ft","4046 N Clarendon Ave Unit 1N, Chicago, IL 60613"
"$400,000","3 beds
2 baths
1,500 sq ft","7200 W Palmer St Unit 3E, Elmwood Park, IL 60707"
"$489,000","4 beds
2.5 baths
2,340 sq ft
0.23 acre (lot)","5210 S King Dr Unit F, Chicago, IL 60615"
"$1,198,000","3 beds
2.5 baths
1,546 sq ft
4,000 sq ft (lot)","424 27th Ave E, Seattle, WA 98112"
"$515,000","2 beds
1.5 baths
1,058 sq ft","150 Melrose Ave E #101, Seattle, WA 98102"
"$924,000","3 beds
3 baths
2,150 sq ft
3,962 sq ft (lot)","12337 Sand Point Way NE, Seattle, WA 98125"
"$1,800,000","4 beds
3 baths
3,170 sq ft
3,600 sq ft (lot)","1940 8th Ave W, Seattle, WA 98119"
"$649,000","2 beds
2 baths
1,116 sq ft","530 4th Ave W #301, Seattle, WA 98119"
"$378,900","1 bed
1 bath
609 sq ft","107 20th Ave #307, Seattle, WA 98122"
"$799,000","3 beds
2 baths
1,300 sq ft","4733 Elmwood Ave #402, Los Angeles, CA 90004"
"$475,000","2 beds
2 baths
927 sq ft","5349 Newcastle Ave #62, Encino, CA 91316"
"$2,400,000","4 beds
3 baths
3,454 sq ft
6,004 sq ft (lot)","12236 Laurel Terrace Dr, Studio City, CA 91604"
"$1,249,000","4 beds
3 baths
2,303 sq ft
9,977 sq ft (lot)","19491 Pauma Valley Dr, Porter Ranch, CA 91326"
"$1,698,000","4 beds
3.5 baths
3,128 sq ft
5,566 sq ft (lot)","4235 W 59th Pl, Los Angeles, CA 90043"
"$1,499,000","4 beds
3 baths
2,382 sq ft
9,513 sq ft (lot)","21528 Mulholland Dr, Woodland Hills, CA 91364"
"$630,000","2 beds
2 baths
766 sq ft","5252 Balboa Arms Dr #227, San Diego, CA 92117"
"$999,900","3 beds
2.5 baths
2,102 sq ft
1.53 acres (lot)","8301 Rio San Diego Dr #2, San Diego, CA 92108"
"$595,000","2 beds
2 baths
1,050 sq ft","9249 Village Glen Dr #103, San Diego, CA 92123"
"$659,000","2 beds
1.5 baths
1,036 sq ft","235 Market St #610, San Diego, CA 92101"
"$709,000","2 beds
2 baths
1,048 sq ft","620 State St #123, San Diego, CA 92101"
"$1,195,000","4 beds
2 baths
1,657 sq ft","9057 Covina St, San Diego, CA 92126"
"$774,999","4 beds
3 baths
3,011 sq ft","15210 SE Linden Ln, Milwaukie, OR 97267"
"$450,000","3 beds
1 bath
1,323 sq ft
0.35 acre (lot)","227 SE 129th Ave, Portland, OR 97233"
"$700,000","4 beds
2.5 baths
1,933 sq ft
6,534 sq ft (lot)","17183 NW Countryridge Dr, Portland, OR 97229"
