book_id,name,category,author,publisher,discount,price,price_normal,point,description,review,img
1,예약판매 QA 편,Computer Science,남효진,2024.05.28,10%,"28,800원","정가32,000원","1,600p","소프트웨어 테스터로 성공적인 안착을 위해 노력하는 이들에게 이 책은 4주 동안 총 6개의 강의로 소프트웨어 테스트의 시작부터 종료 선언까지 모든 과정을 다루고 있습니다. 테스터로서 갖춰야 할 역량은 물론이고 테스트 단계에 따라 안내합 소프트웨어 품질 보증의 기본 개념부터 최신 기법, 문서 작성 방법까지 체계적으로 안내합니다. 또, 소프트웨어 생명주기 전체를 시각적으로 확인하면서 순서대로 진행할 수 있도록 로드맵을 제공합니다. QA로 취업하려는 취준생, 직무 전환을 고민하는 입문자, 역량 개발이 필요한 주니어까지 모두에게 유용한 가이드가 될 것입니다. 제로베이스에서 취업까지, 부트캠프 ‘부트캠프’ 시리즈는 취업, 이직 또는 직무 능력 향상을 필요로 하는 이들을 위한 가이드입니다. 실무 경험 또는 강의 경험이 풍부한 업계 선배들의 로드맵을 따라 취업부터 역량 개발까지 함께하세요.",0.0,kyobo/book_img_001.jpg
2,예약판매 최고의 프로덕트는 무엇이 다른가,Computer Science,유진호,2024.05.31,10%,"14,850원","정가16,500원",820p,"소프트웨어나 서비스를 개발할 때 기획서만 잘 쓰면 실패하지 않고 제품이 나올 수 있을까요? 수많은 책이 나왔고 방법론도 많이 있지만 여전히 어려운 문제들이 많습니다. 이 책은 단순한 방법론을 넘어 초기 기획부터 개발 과정까지 사람들과 어떻게 일해야 하는지, 조직구조는 어떻게 개선하는지에 대해 구체적으로 설명합니다.",0.0,kyobo/book_img_002.jpg
3,예약판매 챗GPT와 랭체인을 활용한 LLM 기반 AI 앱 개발,Computer Science,요시다 신고 외,2024.06.05,10%,"24,300원","정가27,000원","1,350p","이 책은 챗GPT와 랭체인 프레임워크를 이용해 대규모 언어 모델(LLM)을 실제로 사용할 수 있는 수준의 애플리케이션에 통합하는 방법을 단계별 실습을 통해 알려줍니다. OpenAI API와 랭체인의 기본 개념부터 웹 애플리케이션과 슬랙 앱 구현, 그리고 프로덕션 환경에 배포하기까지 실전 사례를 중심으로 LLM 애플리케이션 개발의 전 과정을 익힐 수 있습니다. 또한 벡터 데이터베이스, 서버리스 아키텍처 등 최신 기술의 활용법과 보안, 개인정보보호 등 실무에 필요한 노하우도 배울 수 있습니다. 이 책을 통해 여러분도 LLM의 무한한 잠재력을 현실에 적용할 수 있는 개발자로 한 걸음 더 나아갈 수 있을 것입니다. ★ 이 책에서 다루는 내용 ★ ◎ 챗GPT API와 랭체인 프레임워크의 기본 개념과 사용법 ◎ 프롬프트 엔지니어링 기법으로 LLM의 성능 끌어올리기 ◎ 외부 검색과 대화 기록을 활용한 웹 애플리케이션 개발 ◎ 스트리밍 응답과 슬랙 앱 통합으로 실용성 높은 챗봇 구현 ◎ 벡터 데이터베이스와 검색으로 자체 데이터에 기반한 질의응답 시스템 구축 ◎ AWS 람다와 서버리스 프레임워크를 활용한 프로덕션 환경 배포 ◎ LLM 애플리케이션의 테스트와 평가 및 보안 대책",0.0,kyobo/book_img_003.jpg
4,컴퓨터 구조와 운영체제 핵심 노트,Computer Science,서지영,2024.05.30,10%,"22,500원","정가25,000원","1,250p","IT 분야 입문이나 취업을 위해 빠르게 핵심 내용을 익혀야 하거나, 기사/기술사 시험에 대비해 정리가 필요하거나, IT 분야 취업 후 컴퓨터/운영체제 지식이 필요하거나, 컴퓨터 원리를 이해하여 더 나은 개발자가 되려고 한다면! 방대한 분량의 전공지식을 공부하기가 어렵다면! 예전에 배워서 다시 보면 쉬울 줄 알았는데 의외로 어렵고 헷갈린다면! 이 책은 20년 넘게 IT 분야에서 일하고 있는 저자가 기술사 시험을 준비하며 직접 정리한 핵심 노트다. 컴퓨터 구조와 운영체제의 기본기를 핵심 위주로 간결하게 복습할 수 있고, 각각의 개념과 동작 원리는 물론 둘의 연계 동작까지 아우를 수 있게 정리했다. 눈에 보이지 않는 개념과 원리를 그림으로 이해해 개념을 이미지로 떠올리게 구성하고, 그림 외에도 설명을 보충하고 쉽게 정리할 수 있도록 예시, 코드, 표 등을 적극 활용했다. 또한 학습 이해도를 측정할 수 있도록 챕터마다 핵심 요약과 확인 문제를 준비했다. 컴퓨터 구조와 운영체제, 이 책으로 필요한 핵심만 모아서 배우자!",0.0,kyobo/book_img_004.jpg
5,인공지능 사회문화학,Computer Science,박평종 외,2024.05.31,10%,"18,900원","정가21,000원","1,050p","인공지능은 ‘불현듯’ 출현했다 해도 과언이 아니다. 2016년 저 유명한 ‘알파고’가 세간의 관심을 끈 이후 모두가 주목하는 ‘놀라운’ 기술이 됐다. 그리고 채 10년도 지나지 않아 우리의 삶은 인공지능 이전과 이후로 나뉠 만큼 큰 폭의 변화를 맞고 있다. 실상 거의 모든 영역에서 인공지능이 인간을 대신하기 시작했고, 그 과정에서 인간은 어떻게 대응해야 할지 허둥대고 있다. 한편에서는 인공지능의 무한한 가능성에 환호를 보내지만, 다른 한편에서는 부정적 파급력에 제동을 걸어야 하며 나아가 기술개발을 중지해야 한다는 급진적인 견해를 내놓기도 한다. 그러나 베냐민이 언급했듯 기술이 실제 인간의 삶에 무사히 안착하는 데에는 여러 조건이 필요하다. 당장은 유용하지만 급하게 수용한 기술이 인간의 삶과 조화를 이룰지는 시간을 두고 지켜봐야 할 것이다. 이 책은 이런 맥락에서 인공지능이 인간의 삶에 들어온 이후 어떤 실질적인 변화를 만들어 내고 있는지 진단한다. 자율주행차로 대표되는 기술문화, 대중문화, 예술 및 시각문화의 세 영역에서 펼쳐지고 있는 변화의 양상을 현시점에서 꼼꼼히 검토함으로써 오늘의 현실을 직시하고, 그 긍정성과 부정성을 종합적으로 성찰해 보기를 제안한다. 나아가 작금의 현실에서 향후 가까운 미래에 또 다른 어떤 변화가 몰려올 것인지 가늠할 수 있는 계기를 마련하고자 한다.",0.0,kyobo/book_img_005.jpg
6,인공지능 기술비평학,Computer Science,박상용 외,2024.05.31,10%,"18,000원","정가20,000원","1,000p","기술은 개발된 상태 그대로 사회에 머무르지 않는다. 우리가 기술이 개발된 ‘지금’의 상태만큼이나 주목해야 할 것은 이 기술이 사회 안에서 자리 잡는 과정과 사용되는 방식이며, 그것이 다시 구성하게 될 기술-사회-사람의 관계다. 인류 역사상 가장 발전한 기술로 꼽히는 인공지능 기술도 마찬가지다. 인공지능 기술은 양적으로나 질적으로 매일 성장을 거듭하며 우리의 삶을 전혀 새로운 국면으로 가져다 놓을 듯이 다가오고 있다. 기술-사회-사람은 서로 경합하고 공생하며 꽤 오랫동안 서로 영향을 주고받으며 구성될 것이다. 인공지능 기술에 대한 이해가 기술 자체에 대한 이해에 그치지 않고 기술과 연결된 기술-사회-사람의 맥락에서 비평으로 확장되어 탐구되어야 할 이유가 여기에 있다. 이 책은 인공지능 기술-사회-사람에 대해 비판적인 탐구를 시도한다. 기술 설명, 사회 사례, 비평, 미래 전망을 반복적으로 다루고, 인공지능에 관한 기대와 우려를 포함한 여러 가지 관점의 상상을 제시하는데, 저자들은 단순히 기술의 공학적 이해에만 의존하지 않고 기술-사회-사람의 유기적 관계를 함께 고려하여 비평적으로 다루어야 한다는 공감대를 형성하는 데 이 책이 기여하기를 희망한다.",0.0,kyobo/book_img_006.jpg
7,인공지능 데이터해석학,Computer Science,강우규 외,2024.05.31,10%,"18,000원","정가20,000원","1,000p","인간과 인간의 의사소통이 언어로 이루어진다면, 인간과 AI의 의사소통은 ‘인문데이터’를 통하여 이루어진다. 우리는 컴퓨터 과학이나 자연언어처리를 위하여 숫자로 이루어진 표준 데이터 세트와 구별하기 위해서 인문데이터를 ‘인문학’의 범주로 분류하였다. 인문데이터는 인공지능 기술 발전이 인간의 가치와 윤리적 기준에 부합하도록 보장하는 기초적인 관점을 제공할 뿐만 아니라, AI가 사회문화적 맥락에 어떠한 영향을 미치는지 조명할 수 있다. 또한 AI 개발에 인간 중심적인 데이터의 속성과 정보를 제공하고, 나아가 AI가 인문학적 주제와 인간 사회에 대한 이해를 돕는 데 기여할 것으로 본다. 이를 통해 기술이 인간과 공감하면서 문화적으로 다양하게 인식되며, 윤리적으로 건전하게 개발될 수 있도록 하는 중추적인 연구 분야로 자리 잡을 것이다. 앞으로 AI가 감정 능력을 지니며 인간과 정서적으로 소통하기 위해서는 다양한 AI 인문데이터의 구축이 필요하다. 이 책에서 제시한 감정 데이터, 비윤리 데이터 등의 AI 인문데이터는 인간과 AI가 상호작용하기 위해서 인간의 감정, 윤리, 경험의 다면성, 복잡성 등을 고려하여 인간 주석자를 통해 구축되었으며, 한국인의 정서에 적합한 데이터를 구축했다는 점에서 의의가 있다. 이 책에서는 특히, AI 인문데이터의 구축과 활용의 실제를 살펴보는데, 인간의 마음을 다루는 어휘, 음성, 이미지 형태의 감정 데이터를 중심으로 인간의 복잡한 감정이 AI와 연결되도록 시도하고 있다. 구체적으로 한국어 감정 어휘를 24개의 감정 유형으로 구분하고 사전의 표제어와 용례를 기반으로 감정 어휘 사전을 구축했고, 데이터 설계와 구축 절차를 제공했으며, 딥러닝을 활용한 감성 분석을 제시했다.",0.0,kyobo/book_img_007.jpg
8,인공지능 관계소통학,Computer Science,이찬규 외,2024.05.31,10%,"18,900원","정가21,000원","1,050p","현대 사회의 소통형 AI 기술은 단방향 형태이든 쌍방향 형태이든, 모두 공감의 문제에서 비롯한다. 키오스크의 등장은 ‘감정노동자’의 상처를 덜기 위한 방법이라는 것이 중요한 하나의 요인이었고, 소셜 로봇 역시 소외된 사람의 외로움을 덜기 위한 도구로 개발되기 시작하였다. 인간의 대화는 협의와 조율이 중요하며, 이를 통해 발전적 관계와 맥락을 만들어 낸다. 이러한 특성을 가진 인간의 대화와 달리 AI나 로봇을 통한 대화는 화자나 청자의 역할이 고정되어 있고, 상호 맥락을 형성하면서 관계를 발전시켜 가지 않는다. 그럼에도 우리가 AI나 로봇과의 대화에서 위로나 위안을 얻는 이유는 대화를 조율하고 협의하는 과정에서 느끼는 피로감을 AI나 로봇과의 대화에서는 느끼지 않기 때문일 것이다. 이 책은 현재까지의 기술을 매개한, 또는 기술과의 커뮤니케이션 과정에서 나타나는 현상적 특성을 정리하는 데 중점을 두고 있다. 기술을 매개로 한 인간 사이의 소통과 관계, 인간과 기계 사이의 소통과 관계를 살펴봄으로써, 인공지능 시대 인간관계의 탈맥락화 위험에서 어떻게 우리 자신을 지켜 나가야 하는지 탐색한다. 이 책은 변화하는 이 시대에 대한 바른 이해를 통해 미래를 전망하고, 기술의 발전이 만들어 낼 새로운 관계를 더 건강하게 할 리터러시는 무엇인지 고민하며, 더 많은 사람이 함께하는 논의의 시작점이 될 것이다.",0.0,kyobo/book_img_008.jpg
9,인공지능 윤리규범학,Computer Science,김형주 외,2024.05.31,10%,"20,700원","정가23,000원","1,150p","‘테이’가 등장했다가 사라진 지는 햇수로 7년, ‘이루다’가 파란을 일으킨 지도 벌써 2년이 지났다. 이제 우리는 사람같이 말하는, 사람보다 더 똑똑한 기계 존재인 챗지피티(ChatGPT), 바드(Bard)와 같은 생성형 인공지능에 기대어 말을 하고 글을 쓰고 있다. 전통적으로 윤리는 ‘인간’의 삶과 행위에 관련된 것으로 간주되어 왔다. 그러나 사람을 친 자율주행차, 사람을 죽일 수 있는 킬러 로봇, 애인 행세를 하는 인공지능 인형에게 버림받은 독거인 등 우리 삶에 새로이 등장한 ‘인공지능’이 환기하는 수많은 윤리 문제는 우리에게 또 다른 어려운 과제로 떠오르고 있다. 우리 앞에 놓인 이 새로운 기술, 특히 ‘생성형 인공지능’의 등장은 이에 대한 관심을 집중시키고 증폭한다. 인공지능은 윤리적 주체일까? 아니면 한창 발전하고 있는 기술의 발목을 붙잡는 성가신 존재일 뿐일까? 개인정보와 프라이버시의 보호, 챗봇의 차별 및 혐오 발언, 기술 발전에 가려진 열악한 인간 노동 등, 이 주제를 둘러싼 문제와 쟁점은 매우 다양하다. 이에 기업, 정부, 학계, 시민단체, 종교계 등에서는 수많은 인공지능 윤리 가이드라인이나 윤리 원칙을 앞다투어 발표하고 있다. 이처럼 인공지능 윤리에 대한 논의는 매우 활발하게 진행 중이다. 이 책은 인공지능 윤리와 규범에 관하여 지금까지 이야기되어 온 수많은 논의들을 한데 모아 새로이 살펴본다. 철학과 법학 전공자들로 이루어진 공저자들은 ‘윤리란 무엇인가’라는 근본적인 물음에서 시작하여, 인공지능 윤리와 기술의 긴장 관계, 인공지능 윤리의 주체 및 책임 문제, 인공지능 윤리의 핵심 원칙과 가치 및 국내외 주요 사례, 인공지능 윤리론, 인공지능 관련 한국의 법 제도, 규범학에서 본 인공지능 윤리의 가치, 알고리즘과 법 등을 다룬다. 무엇보다 저자들은 이러한 논의가 인공지능 기술과 함께 살아가는 인간과 전체 공동체를 위한 논의여야 하며, 또한 우리가 만들 미래 사회가 어떤 모습이어야 하는지에 관한 논의가 되어야 함을 강조한다.",0.0,kyobo/book_img_009.jpg
10,최고의 프롬프트 엔지니어링 강의,Computer Science,김진중,2024.06.10,10%,"21,600원","정가24,000원","1,200p","프롬프트 엔지니어링이라면 흔히 ‘AI에게 질문하는 방법’이라고 생각하는 경우가 많지만, 정확히 말하면 ‘AI로부터 높은 수준의 결과물을 얻기 위한 양질의 프롬프트를 구성하는 작업’이라고 할 수 있다. 우리가 작성하는 프롬프트가 단순히 검색 포털에 질문을 입력하는 수준에서 벗어나려면 LLM 작동 원리를 이해하여 체계적으로 프롬프트를 구성하는 작업이 반드시 필요하다. 이 책은 프롬프트 엔지니어링의 방대한 내용을 프로그래밍 지식이 없는 사람도 이해하고 접근하기 쉽도록 컴팩트하고 짜임새 있게 전달한다. 인공지능 시대를 살아가는 데 꼭 필요한 상식과도 같은 프롬프트 엔지니어링을 기초 개념부터 실습까지 누구나 체계적으로 학습할 수 있도록 했다. 패스트캠퍼스의 인기 강의를 LLM 입문자도 학습하기 쉬운 형태로 재구성하였으며, 유튜브/블로그 제목 다듬기, 영어 단어장 만들기, 채용 인터뷰 질문 생성하기 등 실무에서 유용하게 사용할 수 있는 유형 위주로 실습 내용을 엄선하였다.",0.0,kyobo/book_img_010.jpg
