product_id,product_number,category,name,base_price,price,unit_price,arrival,rating,reward,url
1,7233054711,food,"좋은소식 한우 1등급 칼로다진 이유식용 (냉장), 300g, 1개","22,990","17,900","(100g당 5,967원)",내일(토) 새벽 도착 보장,(2339),최대 805원 적립,coupang_img\7233054711.jpg
2,162464619,food,"하림 자연실록 무항생제 인증 닭다리살 정육 (냉장), 350g, 2팩","15,990","12,980","(100g당 1,854원)",내일(토) 새벽 도착 보장,(54999),최대 579원 적립,coupang_img\162464619.jpg
3,7928220906,food,"호주산 차돌양지 샤브샤브용 (냉동), 1kg, 1개","23,950","19,980","(100g당 1,998원)",내일(토) 새벽 도착 보장,(8548),최대 999원 적립,coupang_img\7928220906.jpg
4,252220207,food,"다향오리 오리로스 구이용 (냉장), 1kg, 1개","22,990","19,970","(100g당 1,997원)",내일(토) 새벽 도착 보장,(15574),최대 999원 적립,coupang_img\252220207.jpg
5,5829376555,food,"양반 현미밥, 130g, 24개","28,800","20,860",(100g당 669원),내일(토) 도착 보장,(48760),"최대 1,043원 적립",coupang_img\5829376555.jpg
6,6442038712,food,"푸드랩플러스 미국산 돌돌말이 대패 우삼겹 (냉동), 800g, 1개","23,900","16,070","(100g당 2,009원)",내일(토) 새벽 도착 보장,(17468),최대 804원 적립,coupang_img\6442038712.jpg
7,7778920952,food,"립톤 아이스티 믹스 복숭아맛, 14g, 150개입, 1개","39,000","23,090",(10g당 110원),내일(토) 도착 보장,(12806),"최대 1,155원 적립",coupang_img\7778920952.jpg
8,7575541268,food,"원농산 당도선별 신고배 3~4입, 1팩, 2kg","28,660","22,900","(100g당 1,145원)",내일(토) 새벽 도착 보장,(8768),"최대 1,145원 적립",coupang_img\7575541268.jpg
9,188172341,food,"도드람 한돈 1등급 삼겹살 구이용 (냉장), 1kg, 1개","38,000","27,000","(100g당 2,700원)",내일(토) 새벽 도착 보장,(75533),"최대 1,350원 적립",coupang_img\188172341.jpg
10,1172799932,food,"마니커 1등급 닭다리살 정육 (냉장), 1kg, 1개","19,900","18,900","(100g당 1,890원)",내일(토) 새벽 도착 보장,(15070),최대 945원 적립,coupang_img\1172799932.jpg
11,1881067803,food,"아카페라 심플리 아메리카노 커피, 400ml, 20개","22,900","19,900",(100ml당 249원),내일(토) 도착 보장,(43880),최대 895원 적립,coupang_img\1881067803.jpg
12,7823882369,food,"솔가 엽산 400, 100정, 1개","26,000","17,000",(1정당 170원),내일(토) 도착 보장,(18385),최대 850원 적립,coupang_img\7823882369.jpg
13,1555555318,food,"베지밀 달콤한 비 두유, 190ml, 32개","22,660","22,400",(100ml당 368원),내일(토) 새벽 도착 보장,(10948),"최대 1,120원 적립",coupang_img\1555555318.jpg
14,7458810098,food,"종근당건강 락토핏 골드, 160g, 1개","28,500","16,700","(10g당 1,044원)",내일(토) 도착 보장,(221442),최대 835원 적립,coupang_img\7458810098.jpg
15,6224754616,food,"샘표 양조간장 701, 860ml, 3개","31,830","15,680",(100ml당 608원),내일(토) 도착 보장,(19577),최대 784원 적립,coupang_img\6224754616.jpg
16,5625704601,food,"탐사수 무라벨, 2L, 36개","29,940","16,800",(100ml당 23원),내일(토) 도착 보장,(1057172),최대 840원 적립,coupang_img\5625704601.jpg
17,7893057219,food,"종근당건강 락토핏 당케어 60p, 120g, 2개","70,000","34,900","(10g당 1,454원)",내일(토) 도착 보장,(720),"최대 1,745원 적립",coupang_img\7893057219.jpg
18,7733505934,food,"덴프스 덴마크 유산균이야기 프로 2개월 10.2g, 60정, 1개","34,000","29,500",(1정당 492원),내일(토) 도착 보장,(2162),"최대 1,475원 적립",coupang_img\7733505934.jpg
19,1181654,food,"솔가 철분 25, 90캡슐, 1개","38,000","28,000",(1정당 311원),내일(토) 도착 보장,(18577),"최대 1,400원 적립",coupang_img\1181654.jpg
20,4866946618,food,"매일 소화가 잘되는 우유, 190ml, 24개","28,800","18,560",(100ml당 407원),내일(토) 도착 보장,(132065),최대 928원 적립,coupang_img\4866946618.jpg
21,6398827118,food,"곰곰 샤브샤브용 소고기 (냉동), 500g, 2개","27,600","22,990","(100g당 2,299원)",내일(토) 새벽 도착 보장,(6501),"최대 1,150원 적립",coupang_img\6398827118.jpg
22,7216950686,food,"바다미식회 살이꽉찬 국내산 손질꽃게 2절 (냉동), 1kg, 1개","24,990","18,900","(100g당 1,890원)",내일(토) 새벽 도착 보장,(5275),최대 845원 적립,coupang_img\7216950686.jpg
23,1628662667,food,"하림 닭볶음탕용 닭고기 2개입 (냉장), 2000g, 1개","16,900","15,360",(100g당 768원),내일(토) 새벽 도착 보장,(122448),최대 768원 적립,coupang_img\1628662667.jpg
24,5611991510,food,"프레샤인 GAP 인증 충주 못난이사과, 3kg, 1개","32,070","29,760",(100g당 992원),내일(토) 새벽 도착 보장,(57638),"최대 1,488원 적립",coupang_img\5611991510.jpg
25,7216984958,food,"순살 닭다리살 조각정육 (냉동), 2kg, 1개","20,500","16,450",(100g당 823원),내일(토) 새벽 도착 보장,(4556),최대 823원 적립,coupang_img\7216984958.jpg
26,1463018080,food,"사조 참치액, 2.1kg, 2개","36,000","20,670",(10g당 49원),내일(토) 도착 보장,(99966),"최대 1,034원 적립",coupang_img\1463018080.jpg
27,1407471893,food,"도드람한돈 앞다리 불고기용 1등급 (냉장), 1kg, 1개","19,900","17,380","(100g당 1,738원)",내일(토) 새벽 도착 보장,(36494),최대 869원 적립,coupang_img\1407471893.jpg
28,7198973876,food,"상하목장 무항생제 우유, 125ml, 24개","26,400","17,120",(100ml당 571원),내일(토) 도착 보장,(13560),최대 856원 적립,coupang_img\7198973876.jpg
29,6586372374,food,"프로메가 오메가3 트리플 장용성 39.24g, 60정, 3개","62,700","27,720",(1정당 154원),내일(토) 도착 보장,(70687),"최대 1,386원 적립",coupang_img\6586372374.jpg
30,1555437291,food,"블루다이아몬드 아몬드 브리즈 오리지널, 190ml, 24개","26,400","15,200",(100ml당 333원),내일(토) 새벽 도착 보장,(23749),최대 760원 적립,coupang_img\1555437291.jpg
31,2049791020,food,"한양식품 꽃보다 오징어, 230g, 2팩","42,900","36,990",(10g당 804원),내일(토) 새벽 도착 보장,(45780),"최대 1,850원 적립",coupang_img\2049791020.jpg
32,7662459345,food,"완숙 토마토, 5kg, 1박스","39,800","19,800",(100g당 396원),내일(토) 새벽 도착 보장,(44139),최대 990원 적립,coupang_img\7662459345.jpg
33,7118492748,food,"한강식품 IQF 무항생제 닭가슴살 (냉동), 1kg, 3개","29,070","23,250",(100g당 775원),내일(토) 새벽 도착 보장,(15290),"최대 1,163원 적립",coupang_img\7118492748.jpg
34,2534211,food,"투데이넛 너트한줌 요거트 실속형, 20g, 50개","32,900","23,900",(10g당 239원),내일(토) 도착 보장,(63285),"최대 1,195원 적립",coupang_img\2534211.jpg
35,7230491519,food,"계림농장 자유방목 유정란 1번란, 30구, 1개","24,900","16,900",(1구당 563원),내일(토) 새벽 도착 보장,(1009),최대 845원 적립,coupang_img\7230491519.jpg
36,7411095382,food,"tft 더단백 드링크 초코, 250ml, 18개","34,800","22,200",(100ml당 493원),내일(토) 도착 보장,(23991),"최대 1,110원 적립",coupang_img\7411095382.jpg
37,7749071357,food,"매일 두유 고단백, 190ml, 24개","31,200","15,600",(100ml당 342원),내일(토) 도착 보장,(56685),최대 780원 적립,coupang_img\7749071357.jpg
