pid,category,name,base_price,price,unit_price,arrival,rating,reward,url
162464619,food,"하림 자연실록 무항생제 인증 닭다리살 정육 (냉장), 350g, 2팩","15,990","12,980","(100g당 1,854원)",내일(화) 새벽 도착 보장,(54830),최대 579원 적립,coupang_img\162464619.jpg
1881067788,food,"아카페라 심플리 디카페인 아메리카노 커피, 400ml, 20개","26,900","20,900",(100ml당 261원),모레(수) 도착 예정,(22014),"최대 1,045원 적립",coupang_img\1881067788.jpg
6082113455,food,"파머스컷 호주산 샤브샤브용 소고기 (냉동), 1kg, 1개","25,000","19,890","(100g당 1,989원)",내일(화) 새벽 도착 보장,(19069),최대 995원 적립,coupang_img\6082113455.jpg
7928220906,food,"호주산 차돌양지 샤브샤브용 (냉동), 1kg, 1개","23,950","19,980","(100g당 1,998원)",내일(화) 새벽 도착 보장,(8497),최대 999원 적립,coupang_img\7928220906.jpg
6666722016,food,"동원 항공직송 노르웨이 생연어 (냉장), 1kg, 1개","56,820","38,890","(100g당 3,889원)",내일(화) 새벽 도착 보장,(1792),"최대 1,945원 적립",coupang_img\6666722016.jpg
7830515340,food,"매일유업 매일야채 고농축 토마토의 힘, 125ml, 24개","36,000","20,430",(100ml당 681원),내일(화) 도착 보장,(14971),"최대 1,021원 적립",coupang_img\7830515340.jpg
7778920952,food,"립톤 아이스티 믹스 복숭아맛, 14g, 150개입, 1개","39,000","23,340",(10g당 111원),내일(화) 도착 보장,(12781),"최대 1,167원 적립",coupang_img\7778920952.jpg
188172341,food,"도드람 한돈 1등급 삼겹살 구이용 (냉장), 1kg, 1개","38,000","25,300","(100g당 2,530원)",내일(화) 새벽 도착 보장,(75425),"최대 1,260원 적립",coupang_img\188172341.jpg
5829376555,food,"양반 현미밥, 130g, 24개","28,800","19,790",(100g당 634원),내일(화) 도착 보장,(48488),최대 990원 적립,coupang_img\5829376555.jpg
7575541268,food,"원농산 당도선별 신고배 3~4입, 1팩, 2kg","28,660","22,900","(100g당 1,145원)",내일(화) 새벽 도착 보장,(8707),"최대 1,145원 적립",coupang_img\7575541268.jpg
1181654,food,"솔가 철분 25, 90캡슐, 1개","38,000","21,900",(1정당 243원),내일(화) 도착 보장,(18566),"최대 1,095원 적립",coupang_img\1181654.jpg
6529883355,food,"대상 청정원 순창 우리쌀 고추장, 1kg, 1개","26,000","14,320","(100g당 1,432원)",내일(화) 도착 보장,(4252),최대 716원 적립,coupang_img\6529883355.jpg
5625704601,food,"탐사수 무라벨, 2L, 36개","29,940","16,800",(100ml당 23원),내일(화) 도착 보장,(1055231),최대 840원 적립,coupang_img\5625704601.jpg
